city,state,population,land_area,pop_density,longitude,latitude
New York,New York,8804190,13089780.0,0.6726003034428386,-73.94,40.66
Los Angeles,California,3898747,20451420.0,0.1906345378462718,-118.41,34.02
Chicago,Illinois,2746388,9918612.0,0.2768923716342569,-87.68,41.84
Houston,Texas,2304580,27895824.0,0.08261379911201046,-95.39,29.79
Phoenix,Arizona,1608139,22564080.0,0.07126986786077695,-112.09,33.57
Philadelphia,Pennsylvania,1603797,5854464.0,0.2739442927653155,-75.13,40.01
San Antonio,Texas,1434625,21727728.0,0.0660273821542685,-98.52,29.46
San Diego,California,1386932,14196203.999999998,0.09769738445573198,-117.14,32.81
Dallas,Texas,1304379,14792976.000000002,0.08817556386220053,-96.77,32.79
Austin,Texas,961855,13934843.999999998,0.06902517172061633,-97.75,30.3
Jacksonville,Florida,949611,32552387.999999996,0.029171776890838243,-81.66,30.34
San Jose,California,1013240,7766748.000000001,0.13045871965975978,-121.81,37.3
Fort Worth,Texas,918915,15128388.0,0.060741104736340715,-97.35,32.78
Columbus,Ohio,905748,9583200.0,0.09451414976208365,-82.99,39.99
Charlotte,North Carolina,874579,13429548.0,0.06512348740255443,-80.83,35.21
Indianapolis,Indiana,887642,15751296.000000002,0.05635358512721746,-86.15,39.78
San Francisco,California,873965,2042964.0,0.42779265811830264,-123.03,37.73
Seattle,Washington,737015,3650328.0,0.20190377412659904,-122.35,47.62
Denver,Colorado,715522,6669036.0,0.10729016907391113,-104.88,39.76
Oklahoma City,Oklahoma,681054,26406072.000000004,0.02579156793937394,-97.51,35.47
Nashville,Tennessee,689447,20725848.0,0.033265080396227935,-86.79,36.17
El Paso,Texas,678815,11255903.999999998,0.060307461755182,-106.43,31.85
Washington,District of Columbia,689545,2661516.0,0.25907978760976824,-77.02,38.9
Las Vegas,Nevada,641903,6176808.000000001,0.10392147529921603,-115.26,36.23
Boston,Massachusetts,675647,2103948.0,0.32113293674558496,-71.02,42.34
Portland,Oregon,652503,5815260.0,0.11220530122470879,-122.65,45.54
Louisville,Kentucky,633045,14152643.999999998,0.044729804551008286,-85.65,38.17
Memphis,Tennessee,633104,12937320.0,0.04893625573148071,-89.97,35.11
Detroit,Michigan,639111,6041771.999999999,0.10578204539992574,-83.1,42.38
Baltimore,Maryland,585708,3524004.0000000005,0.16620525969891065,-76.61,39.3
Milwaukee,Wisconsin,577222,4190472.0,0.13774629683720593,-87.97,43.06
Albuquerque,New Mexico,564559,8158788.000000001,0.06919642966577878,-106.65,35.1
Tucson,Arizona,542629,10497960.0,0.051688994814230574,-110.87,32.15
Fresno,California,542107,5018112.0,0.10803007186766657,-119.79,36.78
Sacramento,California,524943,4295016.0,0.12222143060701054,-121.47,38.57
Mesa,Arizona,504258,6041771.999999999,0.08346193798772944,-111.72,33.4
Kansas City,Missouri,508090,13708332.0,0.03706431971446271,-94.56,39.12
Atlanta,Georgia,498715,5893668.000000001,0.08461878069820016,-84.42,33.76
Colorado Springs,Colorado,478961,8511624.0,0.05627140014643504,-104.76,38.87
Omaha,Nebraska,486051,6168096.0,0.07880081632970692,-96.05,41.26
Raleigh,North Carolina,467665,6407676.0,0.07298511972203339,-78.64,35.83
Virginia Beach,Virginia,459470,10659132.0,0.043105761332161006,-76.03,36.78
Long Beach,California,466742,2208492.0,0.2113396833676554,-118.17,33.78
Miami,Florida,442241,1568160.0,0.2820126772778288,-80.21,25.78
Oakland,California,440646,2435004.0,0.1809631524219262,-122.23,37.77
Minneapolis,Minnesota,429954,2352240.0,0.18278491990613202,-93.27,44.96
Tulsa,Oklahoma,413066,8603100.0,0.04801362299636178,-95.9,36.13
Bakersfield,California,403455,6525288.000000001,0.061829454883830404,-119.04,35.35
Tampa,Florida,384959,4965840.0,0.07752142638506275,-82.47,27.97
Wichita,Kansas,397532,7056720.0,0.05633382081193529,-97.35,37.69
Arlington,Texas,394266,4177404.0000000005,0.0943806249048452,-97.12,32.7
Aurora,Colorado,386261,6973956.0,0.055386211212115476,-104.72,39.7
New Orleans,Louisiana,383997,7383420.0,0.05200801254703105,-89.93,30.05
Cleveland,Ohio,372624,3384612.0,0.11009356463901919,-81.68,41.48
Anaheim,California,346824,2191068.0,0.158289929842433,-117.76,33.86
Honolulu,Hawaii,350964,2635380.0,0.1331739635270815,-157.85,21.32
Henderson,Nevada,317610,4626072.0,0.06865651896468537,-115.04,36.01
Stockton,California,320804,2709432.0,0.11840267628048978,-121.31,37.98
Riverside,California,314998,3537072.0,0.0890561458743277,-117.39,33.94
Lexington,Kentucky,322570,12353616.000000002,0.02611138309625295,-84.46,38.04
Corpus Christi,Texas,317863,7065431.999999999,0.04498847345781547,-97.17,27.75
Orlando,Florida,307573,4817736.0,0.06384181283490835,-81.25,28.41
Irvine,California,307670,2857535.9999999995,0.10766968465139198,-117.77,33.68
Cincinnati,Ohio,309317,3388968.0,0.0912717381810628,-84.51,39.14
Santa Ana,California,310227,1189188.0,0.26087296541842,-117.88,33.74
Newark,New Jersey,311549,1049796.0,0.29677099169743454,-74.17,40.72
Saint Paul,Minnesota,311527,2265120.0,0.13753222787313696,-93.1,44.95
Pittsburgh,Pennsylvania,302971,2413224.0,0.1255461573397248,-79.98,40.44
Greensboro,North Carolina,299035,5645376.0,0.05296989961341813,-79.83,36.1
Lincoln,Nebraska,291082,4255812.0,0.06839634833493585,-96.68,40.81
Durham,North Carolina,283506,4913568.0,0.05769860109802083,-78.9,35.98
Plano,Texas,285494,3123252.0,0.09140921065607258,-96.75,33.05
Anchorage,Alaska,291247,74348208.0,0.003917337187198917,-149.28,61.17
Jersey City,New Jersey,292449,640332.0,0.4567146417795768,-74.06,40.71
St. Louis,Missouri,301578,2687652.0,0.1122087234508039,-90.24,38.64
Chandler,Arizona,275987,2844468.0,0.09702587619196279,-111.85,33.28
North Las Vegas,Nevada,262527,4412628.0,0.059494478120521374,-115.09,36.28
Chula Vista,California,275487,2160576.0,0.12750627610415,-117.02,32.63
Buffalo,New York,278349,1759824.0,0.1581686577748684,-78.86,42.89
Gilbert,Arizona,267918,2988215.9999999995,0.089658177320515,-111.74,33.31
Reno,Nevada,264165,4739328.0,0.055738914884135474,-119.85,39.55
Madison,Wisconsin,269840,3467375.9999999995,0.07782253784994764,-89.43,43.09
Fort Wayne,Indiana,263886,4822092.0,0.054724381036280516,-85.14,41.09
Toledo,Ohio,270871,3506580.0,0.07724649088285451,-83.58,41.66
Lubbock,Texas,257141,5863176.0,0.04385694715628526,-101.89,33.57
St. Petersburg,Florida,258308,2692008.0,0.09595365244085456,-82.64,27.77
Laredo,Texas,255205,4639140.0,0.05501127364123523,-99.49,27.56
Irving,Texas,256684,2918520.0,0.08795005687814372,-96.97,32.86
Chesapeake,Virginia,249422,14745060.0,0.016915631404687402,-76.3,36.68
Glendale,Arizona,248325,2683296.0,0.09254476584022038,-112.19,33.53
Winston-Salem,North Carolina,249545,5780411.999999999,0.043170798206079435,-80.26,36.1
Scottsdale,Arizona,241361,8015040.0,0.03011351159819539,-111.86,33.68
Garland,Texas,246018,2487276.0,0.09891061546848842,-96.63,32.91
Boise,Idaho,235684,3659040.0,0.06441143032052123,-116.23,43.6
Norfolk,Virginia,238005,2321748.0,0.10251112523839796,-76.24,36.92
Port St. Lucie,Florida,204851,5192352.0,0.03945244852429111,-80.39,27.28
Spokane,Washington,228989,2996928.0,0.07640790836483226,-117.43,47.67
Richmond,Virginia,226610,2609244.0,0.08684891102556909,-77.48,37.53
Fremont,California,230504,3410748.0,0.06758165657503867,-121.94,37.49
Huntsville,Alabama,215006,9500436.0,0.022631171874638173,-86.53,34.78
Tacoma,Washington,219346,2164932.0,0.10131773191952449,-122.46,47.25
Baton Rouge,Louisiana,227470,3759228.0,0.06050976423882776,-91.13,30.44
Santa Clarita,California,228673,3084048.0,0.07414703013701474,-118.49,34.41
San Bernardino,California,222101,2705076.0,0.08210527171879829,-117.29,34.14
Hialeah,Florida,223109,940896.0000000001,0.2371239754446825,-80.3,25.87
Frisco,Texas,200509,2988215.9999999995,0.06709990174739712,-96.82,33.16
Modesto,California,218464,1873080.0,0.11663356610502489,-121.0,37.64
Cape Coral,Florida,194016,4617360.0,0.04201881594677478,-81.99,26.65
Fontana,California,208393,1877436.0,0.11099872379138356,-117.46,34.11
Moreno Valley,California,208634,2234628.0,0.09336408565542005,-117.21,33.92
Des Moines,Iowa,214133,3841992.0,0.055734889609348484,-93.61,41.57
Rochester,New York,211328,1559447.9999999998,0.13551461799303346,-77.62,43.17
Fayetteville,North Carolina,208501,6459948.000000001,0.032275956400887436,-78.97,35.08
Yonkers,New York,211569,784080.0,0.2698308846036119,-73.87,40.95
McKinney,Texas,195308,2918520.0,0.06692021983745186,-96.66,33.2
Worcester,Massachusetts,206518,1629144.0,0.1267647304351242,-71.81,42.27
Salt Lake City,Utah,199723,4804668.0,0.04156853293505399,-111.93,40.78
Little Rock,Arkansas,202591,5227200.0,0.038757078359351084,-92.36,34.72
Columbus,Georgia,206922,9430740.0,0.021941226245236322,-84.87,32.51
Augusta,Georgia,202081,13168188.0,0.01534615089031232,-82.07,33.37
Sioux Falls,South Dakota,192517,3445595.9999999995,0.05587335253465584,-96.73,43.54
Grand Prairie,Texas,196100,3162455.9999999995,0.062008767869023325,-97.02,32.69
Tallahassee,Florida,196169,4395204.0,0.04463251307561606,-84.25,30.46
Amarillo,Texas,200393,4456188.0,0.04496960182110809,-101.83,35.2
Oxnard,California,202063,1154340.0,0.17504634683022333,-119.21,34.2
Peoria,Arizona,190985,7670916.0,0.024897287364377345,-112.31,33.79
Overland Park,Kansas,197238,3275712.0,0.060212253091846905,-94.69,38.89
Montgomery,Alabama,200603,6965244.0,0.028800570374849753,-86.27,32.35
Birmingham,Alabama,200733,6403320.0,0.03134826933528232,-86.8,33.53
Grand Rapids,Michigan,198917,1951487.9999999998,0.10193093680309591,-85.66,42.96
Knoxville,Tennessee,190740,4299372.0,0.04436461883270394,-83.95,35.97
Vancouver,Washington,190915,2121372.0,0.08999600258700502,-122.6,45.64
Huntington Beach,California,198711,1176120.0,0.16895469850015304,-118.0,33.7
Providence,Rhode Island,190934,801503.9999999999,0.2382196470635206,-71.42,41.82
Brownsville,Texas,186738,5728140.0,0.03260011103080581,-97.45,26.0
Glendale,California,196543,1328580.0,0.14793463698083667,-118.25,34.18
Akron,Ohio,190469,2696364.0,0.07063920153213735,-81.52,41.08
Tempe,Arizona,180587,1738044.0,0.10390243284980127,-111.93,33.39
Newport News,Virginia,186247,3005640.0,0.06196583755872293,-76.52,37.08
Chattanooga,Tennessee,181099,6202944.0,0.029195652902879666,-85.25,35.07
Mobile,Alabama,187041,6076620.0,0.030780433859612745,-88.1,30.67
Fort Lauderdale,Florida,182760,1507176.0,0.12125989267345022,-80.15,26.14
Cary,North Carolina,174721,2578752.0,0.06775409190181918,-78.82,35.78
Shreveport,Louisiana,187593,4695768.0,0.039949375693177344,-93.79,32.47
Ontario,California,175265,2178000.0,0.08047061524334252,-117.6,34.04
Eugene,Oregon,176654,1925352.0000000002,0.09175153426490323,-123.12,44.06
Aurora,Illinois,180542,1960200.0,0.0921038669523518,-88.29,41.76
